CustID|ElecOrGas|Disconnect Doc|Move In Date|Move Out Date|Bill Year|Bill Month|Span Days|Meter Read Date|Meter Read Type|Consumption|Exception Code
108000601|1|N|20080529|99991231|2011|6|33|20110606|A|28320|
108000601|1|N|20080529|99991231|2011|7|29|20110705|A|13760|
108000601|1|N|20080529|99991231|2011|8|30|20110804|A|16240|
108000601|1|N|20080529|99991231|2011|9|28|20110901|A|12560|
108000601|1|N|20080529|99991231|2011|10|33|20111004|A|12400|
108000601|1|N|20080529|99991231|2011|11|28|20111101|A|9440|
108000601|1|N|20080529|99991231|2011|12|34|20111205|A|12160|
108000601|1|N|20080529|99991231|2012|1|32|20120106|A|11360|
108000601|1|N|20080529|99991231|2012|2|31|20120206|A|10480|
108000601|1|N|20080529|99991231|2012|3|29|20120306|A|9840|
108000601|1|N|20080529|99991231|2012|4|35|20120410|A|12560|
108000601|1|N|20080529|99991231|2012|5|27|20120507|A|9120|
108000601|1|N|20080529|99991231|2012|6|30|20120606|A|11520|
108000601|1|N|20080529|99991231|2012|7|31|20120707|A|14160|
108000601|1|N|20080529|99991231|2012|8|28|20120804|A|14000|
108000601|1|N|20080529|99991231|2012|9|33|20120906|A|14880|
108000601|1|N|20080529|99991231|2012|10|29|20121005|A|10880|
108000601|1|N|20080529|99991231|2012|11|27|20121101|A|9280|
108000601|1|N|20080529|99991231|2012|12|34|20121205|A|11680|
108000601|1|N|20080529|99991231|2013|1|33|20130107|A|10560|
108000601|1|N|20080529|99991231|2013|2|30|20130206|A|8400|
108000601|1|N|20080529|99991231|2013|3|28|20130306|A|7920|
108000601|1|N|20080529|99991231|2013|4|30|20130405|A|9120|
108000601|1|N|20080529|99991231|2013|5|32|20130507|A|9920|
108000601|1|N|20080529|99991231|2013|6|30|20130606|E|10880|
100893369|1|N|20080611|99991231|2011|6|29|20110615|A|7800|
100893369|1|N|20080611|99991231|2011|7|34|20110719|A|15800|
100893369|1|N|20080611|99991231|2011|8|27|20110815|A|12400|
100893369|1|N|20080611|99991231|2011|9|30|20110914|A|10200|
100893369|1|N|20080611|99991231|2011|10|29|20111013|A|7600|
100893369|1|N|20080611|99991231|2011|11|32|20111114|A|9400|
100893369|1|N|20080611|99991231|2011|12|31|20111215|A|10800|
100893369|1|N|20080611|99991231|2012|1|34|20120118|A|11400|
100893369|1|N|20080611|99991231|2012|2|29|20120216|A|10200|
100893369|1|N|20080611|99991231|2012|3|32|20120319|A|10800|
100893369|1|N|20080611|99991231|2012|4|31|20120419|A|8800|
100893369|1|N|20080611|99991231|2012|5|27|20120516|A|7000|
100893369|1|N|20080611|99991231|2012|6|30|20120615|A|10000|
100893369|1|N|20080611|99991231|2012|7|33|20120718|A|20200|
100893369|1|N|20080611|99991231|2012|8|30|20120817|A|13200|
100893369|1|N|20080611|99991231|2012|9|32|20120918|A|11400|
100893369|1|N|20080611|99991231|2012|10|27|20121015|A|7800|
100893369|1|N|20080611|99991231|2012|11|29|20121113|A|8600|
100893369|1|N|20080611|99991231|2012|12|31|20121214|A|9600|
100893369|1|N|20080611|99991231|2013|1|34|20130117|A|10600|
100893369|1|N|20080611|99991231|2013|2|32|20130218|A|10200|
100893369|1|N|20080611|99991231|2013|3|28|20130318|A|9000|
100893369|1|N|20080611|99991231|2013|4|31|20130418|A|9000|
100893369|1|N|20080611|99991231|2013|5|29|20130517|A|8000|
100893369|1|N|20080611|99991231|2013|6|33|20130619|A|10000|
104388858|1|N|20080601|99991231|2011|6|31|20110531|E|14743|
104388858|1|N|20080601|99991231|2011|7|30|20110630|A|10471|
104388858|1|N|20080601|99991231|2011|8|31|20110731|A|10158|
104388858|1|N|20080601|99991231|2011|9|31|20110831|A|10162|
104388858|1|N|20080601|99991231|2011|10|30|20110930|A|14726|
104388858|1|N|20080601|99991231|2011|11|31|20111031|A|14674|
104388858|1|N|20080601|99991231|2011|12|30|20111130|A|14710|
104388858|1|N|20080601|99991231|2012|1|31|20111231|A|14320|
104388858|1|N|20080601|99991231|2012|2|31|20120131|A|16166|
104388858|1|N|20080601|99991231|2012|3|29|20120229|A|15402|
104388858|1|N|20080601|99991231|2012|4|31|20120331|A|16098|
104388858|1|N|20080601|99991231|2012|5|30|20120430|E|14112|
104388858|1|N|20080601|99991231|2012|6|31|20120531|A|15979|
104388858|1|N|20080601|99991231|2012|7|30|20120630|A|12629|
104388858|1|N|20080601|99991231|2012|8|31|20120731|A|9396|
104388858|1|N|20080601|99991231|2012|9|31|20120831|A|9388|
104388858|1|N|20080601|99991231|2012|10|30|20120930|A|12883|
